Date,Symbol,Company,Open,DayHigh,DayLow,LastPrice,PreviousClose,Change,PChange,Volume
2025-11-17,TITAN,TITANEQN,3848.0,3874.3,3821.5,3863.9,3829.2,34.7,0.91,504913.0
2025-11-17,M&M,M&MEQN,3710.0,3754.5,3682.3,3731.7,3698.6,33.1,0.89,2093879.0
2025-11-17,POWERGRID,POWERGRIDEQN,272.1,273.95,270.0,273.7,271.3,2.4,0.88,9883500.0
2025-11-17,APOLLOHOSP,APOLLOHOSPEQN,7475.0,7504.5,7425.0,7485.0,7420.5,64.5,0.87,248448.0
2025-11-17,BAJFINANCE,BAJFINANCEEQN,1021.0,1033.0,1017.0,1027.0,1018.5,8.5,0.83,6010841.0
2025-11-17,HDFCBANK,HDFCBANKEQN,991.25,997.95,985.6,996.45,989.6,6.85,0.69,18393598.0
2025-11-17,BAJAJFINSV,BAJAJFINSVEQN,2065.8,2081.1,2055.0,2080.0,2065.8,14.2,0.69,817523.0
2025-11-17,AXISBANK,AXISBANKEQN,1243.9,1261.0,1240.4,1250.0,1241.6,8.4,0.68,4087943.0
2025-11-17,HCLTECH,HCLTECHEQN,1594.0,1607.7,1585.5,1605.5,1594.6,10.9,0.68,2000122.0
2025-11-17,JSWSTEEL,JSWSTEELEQN,1173.9,1178.0,1165.4,1175.0,1167.8,7.2,0.62,1102731.0
2025-11-17,GRASIM,GRASIMEQN,2790.0,2799.0,2771.1,2798.9,2783.4,15.5,0.56,459015.0
2025-11-17,HINDALCO,HINDALCOEQN,801.0,809.0,799.75,808.0,803.65,4.35,0.54,2769861.0
2025-11-17,SBIN,SBINEQN,971.0,976.0,968.5,973.0,967.85,5.15,0.53,7411754.0
2025-11-17,LT,LTEQN,4004.4,4030.0,4000.1,4025.0,4004.4,20.6,0.51,1205940.0
2025-11-17,BHARTIARTL,BHARTIARTLEQN,2112.0,2122.0,2100.9,2111.3,2100.7,10.6,0.5,5998453.0
2025-11-17,NTPC,NTPCEQN,329.0,331.45,328.55,330.1,328.45,1.65,0.5,6281311.0
2025-11-17,ICICIBANK,ICICIBANKEQN,1375.1,1382.5,1373.6,1379.1,1373.0,6.1,0.44,7660321.0
2025-11-17,SUNPHARMA,SUNPHARMAEQN,1765.8,1768.0,1747.7,1764.0,1757.1,6.9,0.39,1430470.0
2025-11-17,ONGC,ONGCEQN,247.6,249.7,247.45,248.35,247.6,0.75,0.3,6278300.0
2025-11-17,INFY,INFYEQN,1496.0,1510.2,1492.5,1507.0,1502.8,4.2,0.28,7908950.0
2025-11-17,CIPLA,CIPLAEQN,1537.5,1538.4,1526.5,1536.4,1532.1,4.3,0.28,912149.0
2025-11-17,COALINDIA,COALINDIAEQN,387.0,389.2,386.15,388.0,386.95,1.05,0.27,3845735.0
2025-11-17,TRENT,TRENTEQN,4391.9,4414.1,4375.0,4401.0,4391.2,9.8,0.22,551435.0
2025-11-17,RELIANCE,RELIANCEEQN,1520.9,1523.7,1511.5,1518.0,1518.9,-0.9,-0.06,5869319.0
2025-11-17,HINDUNILVR,HINDUNILVREQN,2431.4,2438.4,2416.0,2425.5,2427.7,-2.2,-0.09,919488.0
2025-11-17,NESTLEIND,NESTLEINDEQN,1272.0,1278.0,1264.1,1270.0,1271.6,-1.6,-0.13,774793.0
2025-11-17,ITC,ITCEQN,409.75,412.0,406.0,407.5,408.15,-0.65,-0.16,7851996.0
2025-11-17,DRREDDY,DRREDDYEQN,1253.0,1253.0,1240.5,1244.0,1246.0,-2.0,-0.16,1422995.0
2025-11-17,TCS,TCSEQN,3106.0,3123.5,3086.6,3100.0,3106.0,-6.0,-0.19,2232516.0
2025-11-17,ADANIPORTS,ADANIPORTSEQN,1518.9,1519.0,1503.0,1509.8,1512.7,-2.9,-0.19,1749624.0
2025-11-17,WIPRO,WIPROEQN,243.97,244.78,242.69,243.7,244.37,-0.67,-0.27,6558293.0
2025-11-17,SBILIFE,SBILIFEEQN,2000.9,2012.9,1993.3,1993.8,2000.9,-7.1,-0.35,726712.0
2025-11-17,BEL,BELEQN,427.95,429.5,422.4,424.9,426.85,-1.95,-0.46,12990103.0
2025-11-17,TATASTEEL,TATASTEELEQN,175.13,175.25,172.62,173.4,174.26,-0.86,-0.49,28186286.0
2025-11-17,INDIGO,INDIGOEQN,5900.0,5905.0,5839.5,5878.0,5908.5,-30.5,-0.52,608283.0
2025-11-17,HDFCLIFE,HDFCLIFEEQN,770.7,778.0,765.1,768.3,773.7,-5.4,-0.7,2638362.0
2025-11-17,ASIANPAINT,ASIANPAINTEQN,2906.4,2926.9,2880.0,2885.4,2906.4,-21.0,-0.72,1230654.0
2025-11-17,JIOFIN,JIOFINEQN,316.0,316.85,311.15,312.45,314.9,-2.45,-0.78,8866937.0
2025-11-17,ULTRACEMCO,ULTRACEMCOEQN,11810.0,11855.0,11745.0,11775.0,11874.0,-99.0,-0.83,194378.0
2025-11-17,TMPV,TMPVEQN,380.0,380.0,363.0,372.65,391.2,-18.55,-4.74,32374374.0
2025-11-18,NIFTY 50,NIFTY 50,26021.8,26029.85,25876.5,25910.05,26013.45,-103.40000000000146,-0.4,
2025-11-18,BHARTIARTL,BHARTIARTLEQN,2122.0,2159.0,2110.3,2146.1,2112.2,33.9,1.6,10972361.0
2025-11-18,AXISBANK,AXISBANKEQN,1250.0,1273.5,1247.6,1263.0,1249.6,13.4,1.07,10175870.0
2025-11-18,ASIANPAINT,ASIANPAINTEQN,2886.0,2916.0,2862.1,2902.2,2887.9,18.8,0.65,1818999.0
